Date,Dernier,Ouv., Plus Haut,Plus Bas
20/11/2001,0.883,0.8789,0.8844,0.8779
21/11/2001,0.8791,0.8833,0.8837,0.8752
22/11/2001,0.8777,0.8787,0.8797,0.8757
23/11/2001,0.8781,0.8781,0.8814,0.8735
26/11/2001,0.8805,0.877,0.8835,0.877
27/11/2001,0.8834,0.8803,0.8842,0.8767
28/11/2001,0.8879,0.8838,0.889,0.8814
29/11/2001,0.8876,0.888,0.8922,0.8853
30/11/2001,0.8965,0.8876,0.8984,0.8845
03/12/2001,0.8916,0.8959,0.8971,0.8888
04/12/2001,0.8901,0.8914,0.8925,0.8883
05/12/2001,0.8883,0.8904,0.8943,0.8844
06/12/2001,0.895,0.8883,0.8954,0.8863
07/12/2001,0.8896,0.8951,0.8955,0.8882
10/12/2001,0.8908,0.8901,0.892,0.8841
11/12/2001,0.8928,0.891,0.8931,0.8881
12/12/2001,0.898,0.8931,0.899,0.8921
13/12/2001,0.8926,0.8986,0.8995,0.892
14/12/2001,0.9028,0.8933,0.9058,0.8921
17/12/2001,0.9021,0.9039,0.9086,0.9019
18/12/2001,0.9032,0.9023,0.9045,0.8993
19/12/2001,0.9006,0.9036,0.9039,0.8953
20/12/2001,0.9007,0.9009,0.9015,0.8961
21/12/2001,0.888,0.9002,0.9016,0.8856
24/12/2001,0.8777,0.8882,0.891,0.8739
25/12/2001,0.8767,0.8775,0.8825,0.8764
26/12/2001,0.8801,0.8791,0.8821,0.8764
27/12/2001,0.883,0.8804,0.8872,0.8774
28/12/2001,0.8836,0.8833,0.8847,0.8788
31/12/2001,0.8909,0.8842,0.8927,0.8827
